City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,alice springs,-23.7,133.8833,286.05,53,0,25.48,AU,1692827300
302,balsas,-7.5325,-46.0356,304.67,24,9,2.53,BR,1692827537
303,duki,30.1541,68.5728,302.4,26,100,3.23,PK,1692827626
304,yuzhno-kurilsk,44.0306,145.8556,294.73,96,98,2.97,RU,1692827311
305,buka,40.8108,69.1986,296.47,27,1,0.44,UZ,1692827237
306,weno,7.4515,151.8468,300.12,94,100,6.17,FM,1692827303
307,saint croix,17.7397,-64.7388,303.4,70,0,0.0,VI,1692827627
308,tambura,5.6,27.4667,292.83,98,55,1.53,SS,1692827627
309,bamboo flat,11.7,92.7167,299.2,89,75,1.03,IN,1692827143
310,aden,12.7794,45.0367,304.48,70,2,2.82,YE,1692827627
311,east london,-33.0153,27.9116,287.1,60,4,7.12,ZA,1692827324
312,oyama,36.3,139.8,302.36,80,17,2.38,JP,1692827628
313,constitucion,-35.3333,-72.4167,283.93,82,30,2.7,CL,1692827628
314,dudinka,69.4058,86.1778,284.61,93,84,6.61,RU,1692827236
315,prieska,-29.6641,22.7474,283.01,47,4,2.52,ZA,1692827629
316,labytnangi,66.6572,66.4183,282.11,89,100,4.21,RU,1692827629
317,birobidzhan,48.8,132.95,291.82,93,0,0.75,RU,1692827515
318,sola,-13.8833,167.55,300.52,83,75,5.14,VU,1692827629
319,canutama,-6.5339,-64.3831,306.42,33,6,1.4,BR,1692827629
320,bourg-saint-maurice,45.6172,6.769,299.07,44,2,2.13,FR,1692827629
321,prince george,53.9166,-122.753,288.29,94,100,1.54,CA,1692827398
322,selfoss,63.9331,-20.9971,287.06,80,32,0.09,IS,1692827026
323,nahiyat ash shinafiyah,31.5874,44.6602,312.28,12,37,2.73,IQ,1692827630
324,roquetas de mar,36.7642,-2.6148,302.38,62,0,1.07,ES,1692827630
325,shiguai,40.7058,110.2856,285.49,61,5,0.69,CN,1692827630
326,mazatlan,23.2167,-106.4167,305.88,77,51,3.13,MX,1692827531
327,itaituba,-4.2761,-55.9836,308.24,55,20,2.57,BR,1692827630
328,rudsar,37.1376,50.288,300.14,74,0,0.88,IR,1692827631
329,nago,26.5881,127.9761,301.62,83,3,2.28,JP,1692827631
330,turi,40.9173,17.0212,298.75,77,0,1.54,IT,1692827631
331,talanga,14.4,-87.0833,303.45,68,98,2.26,HN,1692827631
332,olindina,-11.3667,-38.3333,296.86,73,5,5.67,BR,1692827631
333,freetown,8.484,-13.2299,299.99,89,75,3.09,SL,1692827631
